"Question Text","Question Type","Option 1","Option 2","Option 3","Option 4","Option 5","Correct Answer","Time in seconds","Image Link","Answer explanation"
"Classify: friendship.","Multiple Choice","derivation","compounding","conversion","blending","","1","15","","friend + -ship (suffix)"
"Which process: distasteful?","Multiple Choice","derivation (prefix + suffix)","compounding","conversion","blending","","1","15","","dis- + taste + -ful"
"Type of compound: washing machine.","Multiple Choice","endocentric","exocentric","copulative","not a compound","","1","15","","Head is machine"
"Type of compound: redneck.","Multiple Choice","endocentric","exocentric","copulative","not a compound","","2","15","","Head is outside the compound"
"Type of compound: singer-songwriter.","Multiple Choice","endocentric","exocentric","copulative","not a compound","","3","15","","Two heads of equal status"
"Classify: paperback.","Multiple Choice","endocentric compound","exocentric compound","copulative compound","derivation","","1","15","","Book with paper back"
"Classify: cook (N) from cook (V).","Multiple Choice","derivation","conversion (zero-derivation)","clipping","blending","","2","15","","Word-class change without overt morphology"
"Classify: to Google (V) from Google (N).","Multiple Choice","derivation","conversion (zero-derivation)","clipping","blending","","2","15","","Noun to verb"
"Classify: fridge.","Multiple Choice","clipping","blending","back-formation","acronym/initialism","","1","15","","From refrigerator"
"Classify: Brangelina.","Multiple Choice","clipping","blending","back-formation","acronym/initialism","","2","15","","Blend of Brad + Angelina"
"Classify: swooshtika.","Multiple Choice","clipping","blending","back-formation","acronym/initialism","","2","15","","Blend with pejorative twist"
"Classify: sightsee (V) from sightseeing/sightseer.","Multiple Choice","derivation","blending","back-formation","acronym/initialism","","3","15","","Verb formed by removing suffix"
"Classify: LOL.","Multiple Choice","acronym/initialism","clipping","blending","conversion","","1","15","","Laughing out loud"

